,Subject,Block,Pre,Post
314,SK,44,0.5,0.4791666666666667
315,AC,45,0.25,0.5833333333333334
316,CD,45,0.5,0.5625
317,CG,45,0.5625,0.4375
318,DA,45,0.4375,0.625
319,JN,45,0.5,0.4791666666666667
320,JS,45,0.5625,0.5208333333333334
321,SK,45,0.625,0.4583333333333333
322,AC,46,0.6875,0.4791666666666667
323,CD,46,0.5,0.5833333333333334
324,CG,46,0.5625,0.6041666666666666
325,DA,46,0.5,0.4791666666666667
326,JN,46,0.4375,0.5
327,JS,46,0.4375,0.4375
328,SK,46,0.375,0.4375
329,AC,47,0.3125,0.5416666666666666
330,CD,47,0.5,0.4375
331,CG,47,0.4375,0.5208333333333334
332,DA,47,0.5625,0.5833333333333334
333,JN,47,0.4375,0.3958333333333333
334,JS,47,0.4375,0.5208333333333334
335,SK,47,0.5,0.5833333333333334
336,AC,48,0.5625,0.4791666666666667
337,CD,48,0.625,0.4375
338,CG,48,0.375,0.4583333333333333
339,DA,48,0.6875,0.4583333333333333
340,JN,48,0.5,0.4375
341,JS,48,0.5625,0.3958333333333333
342,SK,48,0.5625,0.3958333333333333
343,AC,49,0.6875,0.5625
344,CD,49,0.5,0.3333333333333333
345,CG,49,0.5,0.5
346,DA,49,0.4375,0.4791666666666667
347,JN,49,0.375,0.5
348,JS,49,0.375,0.4375
349,SK,49,0.5625,0.6666666666666666
350,AC,50,0.5625,0.5625
351,CD,50,0.5,0.6041666666666666
352,CG,50,0.5625,0.4791666666666667
353,DA,50,0.375,0.4791666666666667
354,JN,50,0.4375,0.4583333333333333
355,JS,50,0.5,0.5833333333333334
356,SK,50,0.5,0.4375
357,AC,51,0.5,0.5
358,CD,51,0.375,0.5416666666666666
359,CG,51,0.5,0.5
360,DA,51,0.375,0.5416666666666666
361,JN,51,0.4375,0.6041666666666666
362,JS,51,0.5,0.5208333333333334
363,SK,51,0.5625,0.5416666666666666
364,AC,52,0.625,0.4166666666666667
365,CD,52,0.5625,0.5208333333333334
366,CG,52,0.5,0.4791666666666667
367,DA,52,0.5625,0.3958333333333333
368,JN,52,0.5,0.4791666666666667
369,JS,52,0.5625,0.5833333333333334
370,SK,52,0.5,0.4583333333333333
371,AC,53,0.5,0.4791666666666667
372,CD,53,0.4375,0.5416666666666666
373,CG,53,0.5,0.5625
374,DA,53,0.4375,0.5
375,JN,53,0.375,0.4375
376,JS,53,0.5625,0.5
377,SK,53,0.3125,0.5
378,AC,54,0.375,0.5625
379,CD,54,0.4375,0.5416666666666666
380,CG,54,0.6875,0.5
381,DA,54,0.5625,0.5
382,JN,54,0.4375,0.4166666666666667
383,JS,54,0.375,0.5
384,SK,54,0.75,0.5416666666666666
385,AC,55,0.5625,0.4583333333333333
386,CD,55,0.625,0.5625
387,CG,55,0.4375,0.5
388,DA,55,0.5625,0.4791666666666667
389,JN,55,0.5,0.5
390,JS,55,0.4375,0.4791666666666667
391,SK,55,0.4375,0.5
392,AC,56,0.6875,0.4375
393,CD,56,0.5625,0.4375
394,CG,56,0.5625,0.4791666666666667
395,DA,56,0.4375,0.5208333333333334
396,JN,56,0.5,0.5833333333333334
397,JS,56,0.6875,0.4375
398,SK,56,0.5,0.5208333333333334
399,AC,57,0.5,0.5208333333333334
400,CD,57,0.5,0.5208333333333334
401,CG,57,0.6875,0.5625
402,DA,57,0.5625,0.5208333333333334
403,JN,57,0.375,0.5
404,JS,57,0.625,0.5416666666666666
405,SK,57,0.5,0.4791666666666667
406,AC,58,0.5,0.5833333333333334
407,CD,58,0.25,0.5208333333333334
408,CG,58,0.625,0.4791666666666667
409,DA,58,0.5625,0.4791666666666667
410,JN,58,0.3125,0.4166666666666667
411,JS,58,0.4375,0.5416666666666666
412,SK,58,0.625,0.4583333333333333
413,AC,59,0.5625,0.4375
414,CD,59,0.5,0.5
415,CG,59,0.5,0.4583333333333333
416,DA,59,0.5625,0.5625
417,JN,59,0.625,0.5
418,JS,59,0.625,0.4375
419,SK,59,0.6875,0.5416666666666666
420,AC,60,0.625,0.4583333333333333
421,CD,60,0.375,0.5416666666666666
422,CG,60,0.5625,0.4791666666666667
423,DA,60,0.5,0.5625
424,JN,60,0.5,0.5416666666666666
425,JS,60,0.5625,0.5
426,SK,60,0.75,0.4583333333333333
427,AC,61,0.5625,0.4583333333333333
428,CD,61,0.4375,0.6041666666666666
429,CG,61,0.4375,0.6041666666666666
430,DA,61,0.5,0.5625
431,JN,61,0.6875,0.3541666666666667
432,JS,61,0.5,0.4375
433,SK,61,0.625,0.4583333333333333
434,AC,62,0.5625,0.4375
435,CD,62,0.5,0.5208333333333334
436,CG,62,0.4375,0.5833333333333334
437,DA,62,0.625,0.4375
438,JN,62,0.4375,0.4375
439,JS,62,0.5,0.5416666666666666
440,SK,62,0.3125,0.5
441,AC,63,0.375,0.3958333333333333
442,CD,63,0.5,0.5
443,CG,63,0.5,0.5416666666666666
444,DA,63,0.5,0.4791666666666667
445,JN,63,0.5,0.5
446,JS,63,0.4375,0.5416666666666666
447,SK,63,0.8125,0.6041666666666666
