,Subject,Block,Pre,Post
321,JN,7,0.5625,0.5625
322,JN,7,0.6875,0.625
323,JN,7,0.1875,0.3958333333333333
324,JS,7,0.5625,0.5833333333333334
325,JS,7,0.4375,0.5416666666666666
326,JS,7,0.5625,0.5
327,JS,7,0.75,0.5208333333333334
328,JS,7,0.5625,0.5208333333333334
329,JS,7,0.5,0.4791666666666667
330,SK,7,0.5,0.5
331,SK,7,0.6875,0.4583333333333333
332,SK,7,0.5,0.4791666666666667
333,SK,7,0.5,0.4583333333333333
334,SK,7,0.5,0.4791666666666667
335,SK,7,0.5,0.4791666666666667
336,AC,8,0.4375,0.5208333333333334
337,AC,8,0.5625,0.5416666666666666
338,AC,8,0.4375,0.4791666666666667
339,AC,8,0.5625,0.5625
340,AC,8,0.4375,0.5625
341,AC,8,0.4375,0.5416666666666666
342,CD,8,0.625,0.5833333333333334
343,CD,8,0.5625,0.5625
344,CD,8,0.5625,0.5208333333333334
345,CD,8,0.625,0.5833333333333334
346,CD,8,0.625,0.625
347,CD,8,0.75,0.5625
348,CG,8,0.625,0.5625
349,CG,8,0.5,0.5833333333333334
350,CG,8,0.625,0.5416666666666666
351,CG,8,0.5,0.5416666666666666
352,CG,8,0.5625,0.5833333333333334
353,CG,8,0.4375,0.5208333333333334
354,DA,8,0.5,0.5416666666666666
355,DA,8,0.5625,0.5208333333333334
356,DA,8,0.4375,0.5
357,DA,8,0.4375,0.4791666666666667
358,DA,8,0.4375,0.5208333333333334
359,DA,8,0.5,0.5
360,JN,8,0.625,0.6041666666666666
361,JN,8,0.625,0.625
362,JN,8,0.625,0.6458333333333334
363,JN,8,0.625,0.6041666666666666
364,JN,8,0.6875,0.6458333333333334
365,JN,8,0.625,0.5208333333333334
366,JS,8,0.5625,0.4791666666666667
367,JS,8,0.625,0.5416666666666666
368,JS,8,0.5625,0.5208333333333334
369,JS,8,0.5,0.4583333333333333
370,JS,8,0.5625,0.625
371,JS,8,0.5625,0.4583333333333333
372,SK,8,0.5,0.4375
373,SK,8,0.75,0.4791666666666667
374,SK,8,0.5,0.4791666666666667
375,SK,8,0.4375,0.4583333333333333
376,SK,8,0.4375,0.5208333333333334
377,SK,8,0.5,0.5
378,AC,9,0.5,0.4375
379,AC,9,0.625,0.4375
380,AC,9,0.3125,0.3958333333333333
381,AC,9,0.4375,0.5625
382,AC,9,0.4375,0.5416666666666666
383,AC,9,0.5,0.5
