,Subject,Block,Pre,Post
1892,AC,45,0.375,0.4583333333333333
1893,AC,45,0.4375,0.5416666666666666
1894,AC,45,0.25,0.5
1895,AC,45,0.625,0.4375
1896,CD,45,0.5625,0.4375
1897,CD,45,0.5,0.5208333333333334
1898,CD,45,0.5,0.5
1899,CD,45,0.5625,0.4375
1900,CD,45,0.5,0.5208333333333334
1901,CD,45,0.375,0.5416666666666666
1902,CG,45,0.5625,0.4583333333333333
1903,CG,45,0.5,0.5
1904,CG,45,0.5,0.3958333333333333
1905,CG,45,0.75,0.4791666666666667
1906,CG,45,0.5,0.5
1907,CG,45,0.5,0.5416666666666666
1908,DA,45,0.25,0.5833333333333334
1909,DA,45,0.625,0.4791666666666667
1910,DA,45,0.5,0.5208333333333334
1911,DA,45,0.3125,0.5
1912,DA,45,0.5,0.5208333333333334
1913,DA,45,0.375,0.4791666666666667
1914,JN,45,0.5,0.5208333333333334
1915,JN,45,0.4375,0.5625
1916,JN,45,0.5,0.5625
1917,JN,45,0.4375,0.4375
1918,JN,45,0.375,0.5416666666666666
1919,JN,45,0.4375,0.5208333333333334
1920,JS,45,0.5,0.5
1921,JS,45,0.625,0.3958333333333333
1922,JS,45,0.4375,0.5
1923,JS,45,0.5,0.5
1924,JS,45,0.5,0.4791666666666667
1925,JS,45,0.5625,0.5625
1926,SK,45,0.5625,0.4166666666666667
1927,SK,45,0.375,0.5208333333333334
1928,SK,45,0.5625,0.4166666666666667
1929,SK,45,0.6875,0.4166666666666667
1930,SK,45,0.75,0.3958333333333333
1931,SK,45,0.8125,0.3958333333333333
1932,AC,46,0.4375,0.4375
1933,AC,46,0.625,0.5208333333333334
1934,AC,46,0.5625,0.4583333333333333
1935,AC,46,0.5625,0.5625
1936,AC,46,0.6875,0.5
1937,AC,46,0.75,0.5416666666666666
1938,CD,46,0.4375,0.5
1939,CD,46,0.5625,0.4583333333333333
1940,CD,46,0.4375,0.6666666666666666
1941,CD,46,0.4375,0.5208333333333334
1942,CD,46,0.5,0.5416666666666666
1943,CD,46,0.625,0.4583333333333333
1944,CG,46,0.4375,0.5
1945,CG,46,0.5,0.4583333333333333
1946,CG,46,0.75,0.5833333333333334
1947,CG,46,0.4375,0.6041666666666666
1948,CG,46,0.5,0.4583333333333333
1949,CG,46,0.5,0.5
1950,DA,46,0.625,0.4583333333333333
1951,DA,46,0.625,0.5833333333333334
1952,DA,46,0.5625,0.4791666666666667
1953,DA,46,0.5,0.4791666666666667
1954,DA,46,0.5625,0.4583333333333333
1955,DA,46,0.5,0.4166666666666667
1956,JN,46,0.4375,0.5
1957,JN,46,0.5,0.5
1958,JN,46,0.375,0.5208333333333334
1959,JN,46,0.625,0.3958333333333333
1960,JN,46,0.4375,0.4166666666666667
1961,JN,46,0.4375,0.4791666666666667
1962,JS,46,0.5,0.7083333333333334
1963,JS,46,0.6875,0.5416666666666666
1964,JS,46,0.4375,0.4791666666666667
1965,JS,46,0.625,0.5416666666666666
1966,JS,46,0.5625,0.5
1967,JS,46,0.3125,0.5833333333333334
1968,SK,46,0.4375,0.5625
1969,SK,46,0.4375,0.4375
1970,SK,46,0.375,0.4583333333333333
1971,SK,46,0.5625,0.5
1972,SK,46,0.4375,0.4583333333333333
1973,SK,46,0.5,0.3958333333333333
1974,AC,47,0.5,0.4791666666666667
1975,AC,47,0.375,0.5625
1976,AC,47,0.4375,0.5416666666666666
1977,AC,47,0.625,0.5208333333333334
1978,AC,47,0.625,0.4375
1979,AC,47,0.5,0.5416666666666666
1980,CD,47,0.625,0.4791666666666667
1981,CD,47,0.5625,0.4375
1982,CD,47,0.5,0.4791666666666667
1983,CD,47,0.5,0.5
1984,CD,47,0.625,0.4166666666666667
1985,CD,47,0.6875,0.4375
1986,CG,47,0.6875,0.4375
1987,CG,47,0.375,0.4583333333333333
1988,CG,47,0.5,0.5625
1989,CG,47,0.75,0.5625
1990,CG,47,0.5625,0.625
1991,CG,47,0.6875,0.4583333333333333
1992,DA,47,0.4375,0.5
1993,DA,47,0.625,0.5
1994,DA,47,0.5,0.5
1995,DA,47,0.5625,0.5
1996,DA,47,0.5,0.5625
1997,DA,47,0.4375,0.4375
1998,JN,47,0.625,0.4791666666666667
1999,JN,47,0.4375,0.4375
2000,JN,47,0.375,0.5208333333333334
2001,JN,47,0.6875,0.4583333333333333
2002,JN,47,0.5,0.5416666666666666
2003,JN,47,0.5,0.5416666666666666
2004,JS,47,0.5625,0.5625
2005,JS,47,0.5625,0.4583333333333333
2006,JS,47,0.4375,0.5208333333333334
2007,JS,47,0.5625,0.4583333333333333
2008,JS,47,0.5625,0.5625
2009,JS,47,0.5625,0.5625
2010,SK,47,0.3125,0.5416666666666666
2011,SK,47,0.375,0.5
2012,SK,47,0.5,0.4583333333333333
2013,SK,47,0.375,0.5833333333333334
2014,SK,47,0.375,0.5625
2015,SK,47,0.5625,0.4791666666666667
2016,AC,48,0.4375,0.5208333333333334
2017,AC,48,0.4375,0.4375
2018,AC,48,0.5625,0.4583333333333333
2019,AC,48,0.4375,0.4583333333333333
2020,AC,48,0.5,0.5
2021,AC,48,0.625,0.4375
2022,CD,48,0.4375,0.4791666666666667
2023,CD,48,0.4375,0.4166666666666667
2024,CD,48,0.5,0.4583333333333333
2025,CD,48,0.5,0.3125
2026,CD,48,0.5625,0.375
2027,CD,48,0.4375,0.4375
2028,CG,48,0.625,0.4791666666666667
2029,CG,48,0.5,0.5416666666666666
2030,CG,48,0.375,0.625
2031,CG,48,0.4375,0.5
2032,CG,48,0.375,0.625
2033,CG,48,0.5625,0.4791666666666667
2034,DA,48,0.625,0.3958333333333333
2035,DA,48,0.625,0.5416666666666666
2036,DA,48,0.4375,0.5
2037,DA,48,0.5625,0.5625
2038,DA,48,0.5625,0.5
2039,DA,48,0.6875,0.3958333333333333
2040,JN,48,0.375,0.5416666666666666
2041,JN,48,0.4375,0.3958333333333333
2042,JN,48,0.5625,0.5208333333333334
2043,JN,48,0.4375,0.5416666666666666
2044,JN,48,0.5,0.5416666666666666
2045,JN,48,0.4375,0.5
2046,JS,48,0.625,0.4583333333333333
2047,JS,48,0.625,0.5416666666666666
2048,JS,48,0.5625,0.3958333333333333
2049,JS,48,0.375,0.5208333333333334
2050,JS,48,0.5625,0.5208333333333334
2051,JS,48,0.625,0.4583333333333333
2052,SK,48,0.5625,0.4583333333333333
2053,SK,48,0.3125,0.4791666666666667
2054,SK,48,0.5625,0.5
2055,SK,48,0.4375,0.5625
2056,SK,48,0.6875,0.4583333333333333
2057,SK,48,0.5,0.4791666666666667
2058,AC,49,0.5625,0.4791666666666667
2059,AC,49,0.5625,0.5208333333333334
2060,AC,49,0.5,0.4375
2061,AC,49,0.6875,0.5833333333333334
2062,AC,49,0.625,0.5833333333333334
2063,AC,49,0.5,0.6041666666666666
2064,CD,49,0.5,0.4791666666666667
2065,CD,49,0.5,0.5625
2066,CD,49,0.5,0.5
2067,CD,49,0.5,0.3333333333333333
2068,CD,49,0.5,0.5208333333333334
2069,CD,49,0.5625,0.5416666666666666
2070,CG,49,0.625,0.4791666666666667
2071,CG,49,0.4375,0.5833333333333334
2072,CG,49,0.4375,0.4166666666666667
2073,CG,49,0.5,0.5
2074,CG,49,0.4375,0.4791666666666667
2075,CG,49,0.625,0.4375
2076,DA,49,0.4375,0.4375
2077,DA,49,0.5,0.5
2078,DA,49,0.4375,0.5208333333333334
2079,DA,49,0.375,0.5
2080,DA,49,0.3125,0.5208333333333334
2081,DA,49,0.375,0.4375
2082,JN,49,0.4375,0.5
2083,JN,49,0.5,0.5208333333333334
2084,JN,49,0.5,0.5
2085,JN,49,0.5,0.4166666666666667
